# SWMF/IE integrated quantities log
# generated by build_hindcast_fixture.py — synthetic Feb 2022 Starlink
step year mo dy hr mn sc cpcpn cpcps hpn hps fluxn fluxs
    47 2022  2  3  3 55  0   30.034   33.578   10.733    9.660    0.000    0.000
    48 2022  2  3  4  0  0   30.248   33.817   10.838    9.754    0.000    0.000
    49 2022  2  3  4  5  0   30.464   34.059   10.945    9.851    0.000    0.000
    50 2022  2  3  4 10  0   30.682   34.303   11.054    9.949    0.000    0.000
    51 2022  2  3  4 15  0   30.903   34.550   11.165   10.049    0.000    0.000
    52 2022  2  3  4 20  0   31.126   34.799   11.278   10.150    0.000    0.000
    53 2022  2  3  4 25  0   31.351   35.051   11.393   10.254    0.000    0.000
    54 2022  2  3  4 30  0   31.579   35.305   11.511   10.360    0.000    0.000
    55 2022  2  3  4 35  0   31.808   35.562   11.630   10.467    0.000    0.000
    56 2022  2  3  4 40  0   32.040   35.821   11.752   10.577    0.000    0.000
    57 2022  2  3  4 45  0   32.274   36.083   11.876   10.688    0.000    0.000
    58 2022  2  3  4 50  0   32.511   36.347   12.002   10.801    0.000    0.000
    59 2022  2  3  4 55  0   32.749   36.614   12.130   10.917    0.000    0.000
    60 2022  2  3  5  0  0   32.990   36.883   12.260   11.034    0.000    0.000
    61 2022  2  3  5  5  0   33.233   37.155   12.393   11.154    0.000    0.000
    62 2022  2  3  5 10  0   33.479   37.429   12.528   11.275    0.000    0.000
    63 2022  2  3  5 15  0   33.726   37.706   12.665   11.399    0.000    0.000
    64 2022  2  3  5 20  0   33.976   37.986   12.805   11.524    0.000    0.000
    65 2022  2  3  5 25  0   34.228   38.267   12.947   11.652    0.000    0.000
    66 2022  2  3  5 30  0   34.483   38.552   13.091   11.782    0.000    0.000
    67 2022  2  3  5 35  0   34.739   38.838   13.238   11.914    0.000    0.000
    68 2022  2  3  5 40  0   34.998   39.128   13.387   12.049    0.000    0.000
    69 2022  2  3  5 45  0   35.259   39.419   13.539   12.185    0.000    0.000
    70 2022  2  3  5 50  0   35.522   39.714   13.693   12.324    0.000    0.000
    71 2022  2  3  5 55  0   35.787   40.010   13.850   12.465    0.000    0.000
    72 2022  2  3  6  0  0   36.055   40.309   14.009   12.608    0.000    0.000
    73 2022  2  3  6  5  0   36.325   40.611   14.170   12.753    0.000    0.000
    74 2022  2  3  6 10  0   36.597   40.915   14.334   12.901    0.000    0.000
    75 2022  2  3  6 15  0   36.871   41.221   14.501   13.051    0.000    0.000
    76 2022  2  3  6 20  0   37.147   41.530   14.670   13.203    0.000    0.000
    77 2022  2  3  6 25  0   37.425   41.841   14.842   13.357    0.000    0.000
    78 2022  2  3  6 30  0   37.706   42.155   15.016   13.514    0.000    0.000
    79 2022  2  3  6 35  0   37.988   42.471   15.193   13.673    0.000    0.000
    80 2022  2  3  6 40  0   38.273   42.789   15.372   13.835    0.000    0.000
    81 2022  2  3  6 45  0   38.560   43.110   15.554   13.999    0.000    0.000
    82 2022  2  3  6 50  0   38.849   43.433   15.739   14.165    0.000    0.000
    83 2022  2  3  6 55  0   39.140   43.758   15.927   14.334    0.000    0.000
    84 2022  2  3  7  0  0   39.433   44.086   16.117   14.505    0.000    0.000
    85 2022  2  3  7  5  0   39.728   44.416   16.309   14.678    0.000    0.000
    86 2022  2  3  7 10  0   40.025   44.748   16.505   14.854    0.000    0.000
    87 2022  2  3  7 15  0   40.324   45.083   16.703   15.033    0.000    0.000
    88 2022  2  3  7 20  0   40.625   45.419   16.904   15.213    0.000    0.000
    89 2022  2  3  7 25  0   40.929   45.758   17.107   15.397    0.000    0.000
    90 2022  2  3  7 30  0   41.234   46.099   17.314   15.582    0.000    0.000
    91 2022  2  3  7 35  0   41.541   46.442   17.523   15.770    0.000    0.000
    92 2022  2  3  7 40  0   41.849   46.788   17.734   15.961    0.000    0.000
    93 2022  2  3  7 45  0   42.160   47.135   17.949   16.154    0.000    0.000
    94 2022  2  3  7 50  0   42.473   47.485   18.166   16.349    0.000    0.000
    95 2022  2  3  7 55  0   42.788   47.836   18.386   16.547    0.000    0.000
    96 2022  2  3  8  0  0   43.104   48.190   18.609   16.748    0.000    0.000
    97 2022  2  3  8  5  0   43.422   48.546   18.834   16.951    0.000    0.000
    98 2022  2  3  8 10  0   43.742   48.904   19.062   17.156    0.000    0.000
    99 2022  2  3  8 15  0   44.064   49.263   19.293   17.364    0.000    0.000
   100 2022  2  3  8 20  0   44.387   49.625   19.527   17.574    0.000    0.000
   101 2022  2  3  8 25  0   44.713   49.989   19.764   17.787    0.000    0.000
   102 2022  2  3  8 30  0   45.040   50.354   20.003   18.003    0.000    0.000
   103 2022  2  3  8 35  0   45.368   50.722   20.245   18.220    0.000    0.000
   104 2022  2  3  8 40  0   45.698   51.091   20.489   18.441    0.000    0.000
   105 2022  2  3  8 45  0   46.030   51.462   20.737   18.663    0.000    0.000
   106 2022  2  3  8 50  0   46.363   51.834   20.987   18.888    0.000    0.000
   107 2022  2  3  8 55  0   46.698   52.209   21.240   19.116    0.000    0.000
   108 2022  2  3  9  0  0   47.035   52.585   21.496   19.346    0.000    0.000
   109 2022  2  3  9  5  0   47.373   52.963   21.754   19.578    0.000    0.000
   110 2022  2  3  9 10  0   47.712   53.342   22.015   19.813    0.000    0.000
   111 2022  2  3  9 15  0   48.053   53.723   22.279   20.051    0.000    0.000
   112 2022  2  3  9 20  0   48.395   54.106   22.545   20.290    0.000    0.000
   113 2022  2  3  9 25  0   48.739   54.490   22.814   20.532    0.000    0.000
   114 2022  2  3  9 30  0   49.084   54.876   23.085   20.777    0.000    0.000
   115 2022  2  3  9 35  0   49.430   55.263   23.360   21.024    0.000    0.000
   116 2022  2  3  9 40  0   49.778   55.651   23.637   21.273    0.000    0.000
   117 2022  2  3  9 45  0   50.126   56.041   23.916   21.524    0.000    0.000
   118 2022  2  3  9 50  0   50.476   56.432   24.198   21.778    0.000    0.000
   119 2022  2  3  9 55  0   50.827   56.825   24.483   22.034    0.000    0.000
   120 2022  2  3 10  0  0   51.180   57.219   24.770   22.293    0.000    0.000
   121 2022  2  3 10  5  0   51.533   57.614   25.059   22.553    0.000    0.000
   122 2022  2  3 10 10  0   51.887   58.010   25.351   22.816    0.000    0.000
   123 2022  2  3 10 15  0   52.242   58.407   25.646   23.081    0.000    0.000
   124 2022  2  3 10 20  0   52.599   58.805   25.943   23.349    0.000    0.000
   125 2022  2  3 10 25  0   52.956   59.205   26.242   23.618    0.000    0.000
   126 2022  2  3 10 30  0   53.314   59.605   26.544   23.890    0.000    0.000
   127 2022  2  3 10 35  0   53.673   60.006   26.848   24.163    0.000    0.000
   128 2022  2  3 10 40  0   54.032   60.408   27.154   24.439    0.000    0.000
   129 2022  2  3 10 45  0   54.393   60.811   27.463   24.717    0.000    0.000
   130 2022  2  3 10 50  0   54.754   61.215   27.774   24.996    0.000    0.000
   131 2022  2  3 10 55  0   55.116   61.620   28.087   25.278    0.000    0.000
   132 2022  2  3 11  0  0   55.478   62.025   28.402   25.562    0.000    0.000
   133 2022  2  3 11  5  0   55.841   62.431   28.720   25.848    0.000    0.000
   134 2022  2  3 11 10  0   56.205   62.837   29.039   26.135    0.000    0.000
   135 2022  2  3 11 15  0   56.569   63.244   29.361   26.425    0.000    0.000
   136 2022  2  3 11 20  0   56.933   63.652   29.684   26.716    0.000    0.000
   137 2022  2  3 11 25  0   57.298   64.059   30.010   27.009    0.000    0.000
   138 2022  2  3 11 30  0   57.663   64.468   30.337   27.304    0.000    0.000
   139 2022  2  3 11 35  0   58.029   64.876   30.667   27.600    0.000    0.000
   140 2022  2  3 11 40  0   58.395   65.285   30.998   27.898    0.000    0.000
   141 2022  2  3 11 45  0   58.761   65.694   31.331   28.198    0.000    0.000
   142 2022  2  3 11 50  0   59.127   66.104   31.666   28.499    0.000    0.000
   143 2022  2  3 11 55  0   59.493   66.513   32.002   28.802    0.000    0.000
   144 2022  2  3 12  0  0   59.859   66.923   32.340   29.106    0.000    0.000
   145 2022  2  3 12  5  0   60.226   67.332   32.680   29.412    0.000    0.000
   146 2022  2  3 12 10  0   60.592   67.742   33.021   29.719    0.000    0.000
   147 2022  2  3 12 15  0   60.958   68.151   33.363   30.027    0.000    0.000
   148 2022  2  3 12 20  0   61.324   68.560   33.708   30.337    0.000    0.000
   149 2022  2  3 12 25  0   61.690   68.969   34.053   30.648    0.000    0.000
   150 2022  2  3 12 30  0   62.055   69.378   34.400   30.960    0.000    0.000
   151 2022  2  3 12 35  0   62.420   69.786   34.748   31.273    0.000    0.000
   152 2022  2  3 12 40  0   62.785   70.194   35.097   31.587    0.000    0.000
   153 2022  2  3 12 45  0   63.149   70.601   35.447   31.903    0.000    0.000
   154 2022  2  3 12 50  0   63.513   71.008   35.799   32.219    0.000    0.000
   155 2022  2  3 12 55  0   63.877   71.414   36.151   32.536    0.000    0.000
   156 2022  2  3 13  0  0   64.240   71.820   36.504   32.854    0.000    0.000
   157 2022  2  3 13  5  0   64.602   72.225   36.859   33.173    0.000    0.000
   158 2022  2  3 13 10  0   64.963   72.629   37.214   33.492    0.000    0.000
   159 2022  2  3 13 15  0   65.324   73.032   37.569   33.812    0.000    0.000
   160 2022  2  3 13 20  0   65.684   73.435   37.926   34.133    0.000    0.000
   161 2022  2  3 13 25  0   66.043   73.836   38.283   34.454    0.000    0.000
   162 2022  2  3 13 30  0   66.401   74.236   38.640   34.776    0.000    0.000
   163 2022  2  3 13 35  0   66.758   74.636   38.998   35.098    0.000    0.000
   164 2022  2  3 13 40  0   67.114   75.034   39.357   35.421    0.000    0.000
   165 2022  2  3 13 45  0   67.469   75.431   39.715   35.744    0.000    0.000
   166 2022  2  3 13 50  0   67.823   75.826   40.074   36.067    0.000    0.000
   167 2022  2  3 13 55  0   68.176   76.221   40.433   36.390    0.000    0.000
   168 2022  2  3 14  0  0   68.527   76.614   40.792   36.713    0.000    0.000
   169 2022  2  3 14  5  0   68.878   77.005   41.151   37.036    0.000    0.000
   170 2022  2  3 14 10  0   69.226   77.395   41.510   37.359    0.000    0.000
   171 2022  2  3 14 15  0   69.574   77.783   41.869   37.682    0.000    0.000
   172 2022  2  3 14 20  0   69.920   78.170   42.228   38.005    0.000    0.000
   173 2022  2  3 14 25  0   70.264   78.555   42.586   38.328    0.000    0.000
   174 2022  2  3 14 30  0   70.607   78.938   42.944   38.650    0.000    0.000
   175 2022  2  3 14 35  0   70.948   79.319   43.302   38.971    0.000    0.000
   176 2022  2  3 14 40  0   71.287   79.699   43.659   39.293    0.000    0.000
   177 2022  2  3 14 45  0   71.624   80.076   44.015   39.613    0.000    0.000
   178 2022  2  3 14 50  0   71.960   80.451   44.370   39.933    0.000    0.000
   179 2022  2  3 14 55  0   72.294   80.825   44.725   40.252    0.000    0.000
   180 2022  2  3 15  0  0   72.626   81.196   45.079   40.571    0.000    0.000
   181 2022  2  3 15  5  0   72.956   81.564   45.432   40.888    0.000    0.000
   182 2022  2  3 15 10  0   73.283   81.931   45.783   41.205    0.000    0.000
   183 2022  2  3 15 15  0   73.609   82.295   46.134   41.520    0.000    0.000
   184 2022  2  3 15 20  0   73.933   82.657   46.483   41.835    0.000    0.000
   185 2022  2  3 15 25  0   74.254   83.016   46.831   42.148    0.000    0.000
   186 2022  2  3 15 30  0   74.573   83.372   47.178   42.460    0.000    0.000
   187 2022  2  3 15 35  0   74.889   83.726   47.523   42.771    0.000    0.000
   188 2022  2  3 15 40  0   75.203   84.077   47.866   43.080    0.000    0.000
   189 2022  2  3 15 45  0   75.515   84.426   48.208   43.387    0.000    0.000
   190 2022  2  3 15 50  0   75.824   84.772   48.548   43.693    0.000    0.000
   191 2022  2  3 15 55  0   76.131   85.114   48.886   43.998    0.000    0.000
   192 2022  2  3 16  0  0   76.435   85.454   49.222   44.300    0.000    0.000
   193 2022  2  3 16  5  0   76.736   85.791   49.557   44.601    0.000    0.000
   194 2022  2  3 16 10  0   77.035   86.125   49.889   44.900    0.000    0.000
   195 2022  2  3 16 15  0   77.330   86.455   50.219   45.197    0.000    0.000
   196 2022  2  3 16 20  0   77.623   86.783   50.546   45.491    0.000    0.000
   197 2022  2  3 16 25  0   77.913   87.107   50.871   45.784    0.000    0.000
   198 2022  2  3 16 30  0   78.200   87.428   51.194   46.074    0.000    0.000
   199 2022  2  3 16 35  0   78.484   87.746   51.514   46.363    0.000    0.000
   200 2022  2  3 16 40  0   78.765   88.060   51.831   46.648    0.000    0.000
   201 2022  2  3 16 45  0   79.043   88.370   52.146   46.931    0.000    0.000
   202 2022  2  3 16 50  0   79.318   88.677   52.458   47.212    0.000    0.000
   203 2022  2  3 16 55  0   79.589   88.981   52.767   47.490    0.000    0.000
   204 2022  2  3 17  0  0   79.857   89.280   53.073   47.766    0.000    0.000
   205 2022  2  3 17  5  0   80.122   89.576   53.376   48.038    0.000    0.000
   206 2022  2  3 17 10  0   80.383   89.869   53.675   48.308    0.000    0.000
   207 2022  2  3 17 15  0   80.641   90.157   53.972   48.575    0.000    0.000
   208 2022  2  3 17 20  0   80.896   90.442   54.265   48.838    0.000    0.000
   209 2022  2  3 17 25  0   81.147   90.722   54.554   49.099    0.000    0.000
   210 2022  2  3 17 30  0   81.394   90.999   54.841   49.356    0.000    0.000
   211 2022  2  3 17 35  0   81.638   91.271   55.123   49.611    0.000    0.000
   212 2022  2  3 17 40  0   81.878   91.540   55.402   49.862    0.000    0.000
   213 2022  2  3 17 45  0   82.114   91.804   55.677   50.109    0.000    0.000
   214 2022  2  3 17 50  0   82.347   92.064   55.948   50.353    0.000    0.000
   215 2022  2  3 17 55  0   82.576   92.320   56.215   50.594    0.000    0.000
   216 2022  2  3 18  0  0   82.801   92.571   56.479   50.831    0.000    0.000
   217 2022  2  3 18  5  0   83.022   92.818   56.738   51.064    0.000    0.000
   218 2022  2  3 18 10  0   83.239   93.061   56.993   51.294    0.000    0.000
   219 2022  2  3 18 15  0   83.452   93.299   57.244   51.519    0.000    0.000
   220 2022  2  3 18 20  0   83.661   93.533   57.490   51.741    0.000    0.000
   221 2022  2  3 18 25  0   83.866   93.762   57.732   51.959    0.000    0.000
   222 2022  2  3 18 30  0   84.067   93.987   57.970   52.173    0.000    0.000
   223 2022  2  3 18 35  0   84.264   94.207   58.203   52.383    0.000    0.000
   224 2022  2  3 18 40  0   84.456   94.422   58.432   52.589    0.000    0.000
   225 2022  2  3 18 45  0   84.644   94.632   58.656   52.790    0.000    0.000
   226 2022  2  3 18 50  0   84.828   94.838   58.875   52.987    0.000    0.000
   227 2022  2  3 18 55  0   85.008   95.039   59.089   53.180    0.000    0.000
   228 2022  2  3 19  0  0   85.183   95.235   59.298   53.369    0.000    0.000
   229 2022  2  3 19  5  0   85.354   95.426   59.503   53.553    0.000    0.000
   230 2022  2  3 19 10  0   85.521   95.613   59.702   53.732    0.000    0.000
   231 2022  2  3 19 15  0   85.683   95.794   59.897   53.907    0.000    0.000
   232 2022  2  3 19 20  0   85.841   95.970   60.086   54.078    0.000    0.000
   233 2022  2  3 19 25  0   85.994   96.141   60.270   54.243    0.000    0.000
   234 2022  2  3 19 30  0   86.143   96.307   60.449   54.404    0.000    0.000
   235 2022  2  3 19 35  0   86.287   96.468   60.623   54.560    0.000    0.000
   236 2022  2  3 19 40  0   86.426   96.624   60.791   54.712    0.000    0.000
   237 2022  2  3 19 45  0   86.561   96.775   60.954   54.858    0.000    0.000
   238 2022  2  3 19 50  0   86.691   96.921   61.111   55.000    0.000    0.000
   239 2022  2  3 19 55  0   86.816   97.061   61.263   55.137    0.000    0.000
   240 2022  2  3 20  0  0   86.937   97.196   61.409   55.268    0.000    0.000
   241 2022  2  3 20  5  0   87.053   97.325   61.550   55.395    0.000    0.000
   242 2022  2  3 20 10  0   87.164   97.450   61.685   55.516    0.000    0.000
   243 2022  2  3 20 15  0   87.271   97.569   61.814   55.633    0.000    0.000
   244 2022  2  3 20 20  0   87.373   97.683   61.938   55.744    0.000    0.000
   245 2022  2  3 20 25  0   87.469   97.791   62.055   55.850    0.000    0.000
   246 2022  2  3 20 30  0   87.561   97.894   62.167   55.951    0.000    0.000
   247 2022  2  3 20 35  0   87.649   97.991   62.274   56.046    0.000    0.000
   248 2022  2  3 20 40  0   87.731   98.083   62.374   56.136    0.000    0.000
   249 2022  2  3 20 45  0   87.808   98.170   62.468   56.221    0.000    0.000
   250 2022  2  3 20 50  0   87.881   98.251   62.557   56.301    0.000    0.000
   251 2022  2  3 20 55  0   87.948   98.326   62.639   56.375    0.000    0.000
   252 2022  2  3 21  0  0   88.011   98.396   62.716   56.444    0.000    0.000
   253 2022  2  3 21  5  0   88.068   98.460   62.786   56.507    0.000    0.000
   254 2022  2  3 21 10  0   88.121   98.519   62.850   56.565    0.000    0.000
   255 2022  2  3 21 15  0   88.169   98.572   62.909   56.618    0.000    0.000
   256 2022  2  3 21 20  0   88.211   98.620   62.961   56.665    0.000    0.000
   257 2022  2  3 21 25  0   88.249   98.662   63.007   56.706    0.000    0.000
   258 2022  2  3 21 30  0   88.282   98.699   63.047   56.742    0.000    0.000
   259 2022  2  3 21 35  0   88.309   98.730   63.081   56.773    0.000    0.000
   260 2022  2  3 21 40  0   88.332   98.755   63.109   56.798    0.000    0.000
   261 2022  2  3 21 45  0   88.349   98.775   63.130   56.817    0.000    0.000
   262 2022  2  3 21 50  0   88.362   98.789   63.146   56.831    0.000    0.000
   263 2022  2  3 21 55  0   88.370   98.797   63.155   56.839    0.000    0.000
   264 2022  2  3 22  0  0   88.372   98.800   63.158   56.842    0.000    0.000
   265 2022  2  3 22  5  0   88.370   98.797   63.155   56.839    0.000    0.000
   266 2022  2  3 22 10  0   88.362   98.789   63.146   56.831    0.000    0.000
   267 2022  2  3 22 15  0   88.349   98.775   63.130   56.817    0.000    0.000
   268 2022  2  3 22 20  0   88.332   98.755   63.109   56.798    0.000    0.000
   269 2022  2  3 22 25  0   88.309   98.730   63.081   56.773    0.000    0.000
   270 2022  2  3 22 30  0   88.282   98.699   63.047   56.742    0.000    0.000
   271 2022  2  3 22 35  0   88.249   98.662   63.007   56.706    0.000    0.000
   272 2022  2  3 22 40  0   88.211   98.620   62.961   56.665    0.000    0.000
   273 2022  2  3 22 45  0   88.169   98.572   62.909   56.618    0.000    0.000
   274 2022  2  3 22 50  0   88.121   98.519   62.850   56.565    0.000    0.000
   275 2022  2  3 22 55  0   88.068   98.460   62.786   56.507    0.000    0.000
   276 2022  2  3 23  0  0   88.011   98.396   62.716   56.444    0.000    0.000
   277 2022  2  3 23  5  0   87.948   98.326   62.639   56.375    0.000    0.000
   278 2022  2  3 23 10  0   87.881   98.251   62.557   56.301    0.000    0.000
   279 2022  2  3 23 15  0   87.808   98.170   62.468   56.221    0.000    0.000
   280 2022  2  3 23 20  0   87.731   98.083   62.374   56.136    0.000    0.000
   281 2022  2  3 23 25  0   87.649   97.991   62.274   56.046    0.000    0.000
   282 2022  2  3 23 30  0   87.561   97.894   62.167   55.951    0.000    0.000
   283 2022  2  3 23 35  0   87.469   97.791   62.055   55.850    0.000    0.000
   284 2022  2  3 23 40  0   87.373   97.683   61.938   55.744    0.000    0.000
   285 2022  2  3 23 45  0   87.271   97.569   61.814   55.633    0.000    0.000
   286 2022  2  3 23 50  0   87.164   97.450   61.685   55.516    0.000    0.000
   287 2022  2  3 23 55  0   87.053   97.325   61.550   55.395    0.000    0.000
   288 2022  2  4  0  0  0   86.937   97.196   61.409   55.268    0.000    0.000
   289 2022  2  4  0  5  0   86.816   97.061   61.263   55.137    0.000    0.000
   290 2022  2  4  0 10  0   86.691   96.921   61.111   55.000    0.000    0.000
   291 2022  2  4  0 15  0   86.561   96.775   60.954   54.858    0.000    0.000
   292 2022  2  4  0 20  0   86.426   96.624   60.791   54.712    0.000    0.000
   293 2022  2  4  0 25  0   86.287   96.468   60.623   54.560    0.000    0.000
   294 2022  2  4  0 30  0   86.143   96.307   60.449   54.404    0.000    0.000
   295 2022  2  4  0 35  0   85.994   96.141   60.270   54.243    0.000    0.000
   296 2022  2  4  0 40  0   85.841   95.970   60.086   54.078    0.000    0.000
   297 2022  2  4  0 45  0   85.683   95.794   59.897   53.907    0.000    0.000
   298 2022  2  4  0 50  0   85.521   95.613   59.702   53.732    0.000    0.000
   299 2022  2  4  0 55  0   85.354   95.426   59.503   53.553    0.000    0.000
   300 2022  2  4  1  0  0   85.183   95.235   59.298   53.369    0.000    0.000
   301 2022  2  4  1  5  0   85.008   95.039   59.089   53.180    0.000    0.000
   302 2022  2  4  1 10  0   84.828   94.838   58.875   52.987    0.000    0.000
   303 2022  2  4  1 15  0   84.644   94.632   58.656   52.790    0.000    0.000
   304 2022  2  4  1 20  0   84.456   94.422   58.432   52.589    0.000    0.000
   305 2022  2  4  1 25  0   84.264   94.207   58.203   52.383    0.000    0.000
   306 2022  2  4  1 30  0   84.067   93.987   57.970   52.173    0.000    0.000
   307 2022  2  4  1 35  0   83.866   93.762   57.732   51.959    0.000    0.000
   308 2022  2  4  1 40  0   83.661   93.533   57.490   51.741    0.000    0.000
   309 2022  2  4  1 45  0   83.452   93.299   57.244   51.519    0.000    0.000
   310 2022  2  4  1 50  0   83.239   93.061   56.993   51.294    0.000    0.000
   311 2022  2  4  1 55  0   83.022   92.818   56.738   51.064    0.000    0.000
   312 2022  2  4  2  0  0   82.801   92.571   56.479   50.831    0.000    0.000
   313 2022  2  4  2  5  0   82.576   92.320   56.215   50.594    0.000    0.000
   314 2022  2  4  2 10  0   82.347   92.064   55.948   50.353    0.000    0.000
   315 2022  2  4  2 15  0   82.114   91.804   55.677   50.109    0.000    0.000
   316 2022  2  4  2 20  0   81.878   91.540   55.402   49.862    0.000    0.000
   317 2022  2  4  2 25  0   81.638   91.271   55.123   49.611    0.000    0.000
   318 2022  2  4  2 30  0   81.394   90.999   54.841   49.356    0.000    0.000
   319 2022  2  4  2 35  0   81.147   90.722   54.554   49.099    0.000    0.000
   320 2022  2  4  2 40  0   80.896   90.442   54.265   48.838    0.000    0.000
   321 2022  2  4  2 45  0   80.641   90.157   53.972   48.575    0.000    0.000
   322 2022  2  4  2 50  0   80.383   89.869   53.675   48.308    0.000    0.000
   323 2022  2  4  2 55  0   80.122   89.576   53.376   48.038    0.000    0.000
   324 2022  2  4  3  0  0   79.857   89.280   53.073   47.766    0.000    0.000
   325 2022  2  4  3  5  0   79.589   88.981   52.767   47.490    0.000    0.000
   326 2022  2  4  3 10  0   79.318   88.677   52.458   47.212    0.000    0.000
   327 2022  2  4  3 15  0   79.043   88.370   52.146   46.931    0.000    0.000
   328 2022  2  4  3 20  0   78.765   88.060   51.831   46.648    0.000    0.000
   329 2022  2  4  3 25  0   78.484   87.746   51.514   46.363    0.000    0.000
   330 2022  2  4  3 30  0   78.200   87.428   51.194   46.074    0.000    0.000
   331 2022  2  4  3 35  0   77.913   87.107   50.871   45.784    0.000    0.000
   332 2022  2  4  3 40  0   77.623   86.783   50.546   45.491    0.000    0.000
   333 2022  2  4  3 45  0   77.330   86.455   50.219   45.197    0.000    0.000
   334 2022  2  4  3 50  0   77.035   86.125   49.889   44.900    0.000    0.000
   335 2022  2  4  3 55  0   76.736   85.791   49.557   44.601    0.000    0.000
   336 2022  2  4  4  0  0   76.435   85.454   49.222   44.300    0.000    0.000
   337 2022  2  4  4  5  0   76.131   85.114   48.886   43.998    0.000    0.000
   338 2022  2  4  4 10  0   75.824   84.772   48.548   43.693    0.000    0.000
   339 2022  2  4  4 15  0   75.515   84.426   48.208   43.387    0.000    0.000
   340 2022  2  4  4 20  0   75.203   84.077   47.866   43.080    0.000    0.000
   341 2022  2  4  4 25  0   74.889   83.726   47.523   42.771    0.000    0.000
   342 2022  2  4  4 30  0   74.573   83.372   47.178   42.460    0.000    0.000
   343 2022  2  4  4 35  0   74.254   83.016   46.831   42.148    0.000    0.000
   344 2022  2  4  4 40  0   73.933   82.657   46.483   41.835    0.000    0.000
